Company Name,Company Revenue (in millions),Employee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone,AccountID,LeadID
Oxford Global Resources,800,2000,IT Services and IT Consulting,"Project Engagement, Subject Matter Expertise, Full Project Delivery, Consulting Services, Program and Project Management, IT Strategy Consulting, IT Staffing, Organizational Change Management, Staff Augmentation, Workforce Solutions, Technology, IT Services, Transformation, Consulting, Life Sciences, Healthcare, Engineering, Compliance, Ecommerce, Recruiting, Quality Assurance, Automation",Public Company,United States,Beverly,EST,5710,104670
PACCAR,23000,27000,Motor Vehicle Manufacturing,"Kenworth Truck Company, Peterbilt Motors Company, DAF Trucks, Information Technology Division, PACCAR Engine Company, PACCAR Mexico, Dynacraft, PACCAR of Canada Ste-Therese, PACCAR Winch, Leyland Trucks, PACCAR Financial Services, PACCAR Technical Center, PACCAR Parts, PACCAR Leasing",Public Company,United States,Bellevue,EST,5720,104680
PROS,700,1400,Software Development,"Big Data Software Applications, Sales Effectiveness, Pricing Effectiveness, Revenue Management, CPQ, AI, Digital Transformation",Public Company,France,Houston,CET,5730,104690
PSEG,9200,13000,Utilities,,Public Company,United States,Newark,EST,5740,104700
PTCL,2200,18000,Telecommunications,,Public Company,Pakistan,Islamabad,PKT,5750,104710
PURE Insurance,1200,500,Insurance,High Value Personal Lines Property & Casualty Insurance,Privately Held,United States,White Plains,EST,5760,104720
PacifiCorp,6000,5500,Utilities,"Renewables, Energy, Utilities, Transmission, Finance, Power Delivery, Power Generation, Electricity Provider",Privately Held,United States,Portland,EST,5770,104730
Pakistan Petroleum Limited,1010,2600,Oil & Energy,Exploration & Production of Oil & Gas,Public Company,Pakistan,Karachi,PKT,5780,104740
Papa Murphy's International,800,3900,Restaurants,"Franchisor of Take 'n'​ Bake pizza, Fresh pizza, Customizable pizza",Public Company,United States,Vancouver,PST,5790,104750
Paramount,11000,10700,Entertainment Providers,,Public Company,United States,New York,EST,5800,104760
Paramount Pictures,3000,4200,Entertainment Providers,,Public Company,United States,Los Angeles,EST,5810,104770
Peabody Energy,4400,7500,Mining,Energy and Mining,Public Company,United States,St. Louis,EST,5820,104780
PeaceHealth,3200,16000,Hospitals and Health Care,"Surgery: General, Cancer, Gastrointestinal, Bariatric, Robotic, Orthopedic, Endovascular, and Cardiovascular, Cardiology, Oncology, Imaging, Rehab, Gamma Knife, Cyberknife, Mother/Baby, NICU, Pediatrics, Neurosurgery, Primary Stroke Center, Hyperbaric Chambers, Behavioral Health, Acute Care, Ambulatory Care, Gastroenterology, Pediatrics, Dermatology, Psychiatry, Internal Medicine",Nonprofit,United States,Vancouver,EST,5830,104790
Pep Boys,6000,22000,Motor Vehicle Manufacturing,,Privately Held,United States,Bala-Cynwyd,EST,5840,104800
Perficient,500,3000,IT Services and IT Consulting,"Big Data and Analytics, CPM, Cloud, DevOps, Commerce, Enterprise Data and BI, Content Management, Enterprise Resource Planning, Digital Marketing, Integration and APIs, Experience Design, Multi-Shoring, Mobile, Portals, Social, Business Process Management",Public Company,United States,"St Louis, Mo 63141",EST,5850,104810
PharMerica,1500,6200,Pharmaceutical Manufacturing,"Behavioral Health Pharmacy Services, Senior Living Pharmacy Services, I/DD Pharmacy Services, Long-Term Care Pharmacy Services, Hospice Pharmacy Services, Skilled Nursing Pharmacy Services",Privately Held,United States,Louisville,EST,5860,104820
Phibro Animal Health,800,1400,Pharmaceutical Manufacturing,"Antimicrobials, Microbials, Animal Health, Ethanol Performance Products, Mineral Nutrition, Plant Health, Probiotics, Animal Nutrition, Feed Additives, Vaccine Adjuvants, Vaccines, Poultry, Swine, Aqua, Beef Cattle, Companion Animals, Dairy Cattle, Specialty Chemicals, Feed Premixes, Autogenous Vaccines",Public Company,United States,Teaneck,EST,5870,104830
Pierce Manufacturing,500,200,Motor Vehicle Manufacturing,Fire and Emergency,Public Company,United States,Appleton,EST,5880,104840
Plantronics,850,3200,Telecommunications,"Headsets for the Home and Office, Unified Communications Solutions, Bluetooth Devices, Enterprise Solutions, Gaming Headsets, Digital Enhanced Cordless Telecommunications (DECT), PC Audio Devices, Contact Center Solutions, Small Business Communications",Public Company,United States,Santa Cruz,EST,5890,104850
Playa Hotels & Resorts,800,2200,Hospitality,,Public Company,United States,Fairfax,EST,5900,104860
Poly,1200,5000,Telecommunications,"unified communications, videoconferencing, telephony, headsets, soundscaping, open offices",Public Company,United States,Santa Cruz,EST,5910,104870
Popular,900,8000,Banking,"Banking, Auto Financing, Mortgage, Insurance, Investment",Public Company,United States,San Juan,EST,5920,104880
Price Chopper Supermarkets-Market 32,3500,15000,Retail Groceries,"Retail Grocery, Best in Fresh",Privately Held,United States,Schenectady,EST,5930,104890
Prohealth-care,900,4000,Hospitals and Health Care,,Non Profit,United States,Waukesha,CST,5940,104900
PubMatic,180,800,Internet,"Real-Time Bidding, online advertising, Yield Optimization, Ad Revenue, Sell Side Platform, marketing automation software, mobile advertising, video advertising, in-app advertising, inventory quality",Public Company,United States,Redwood City,EST,5950,104910
Puget Sound Energy,3200,3100,Utilities,"Natural gas and electric services, Energy efficiency solutions for homes and businesses",Privately Held,United States,Bellevue,EST,5960,104920
PureHealth,700,3200,Hospital & Health Care,"Innovative Healthcare Solutions, Hospital Operations, Laboratory Operations, Intelligent Reference Laboratories, Medical Devices, Healthtech",Privately Held,United Arab Emirates,Abu Dhabi,GST,5970,104930
QAFCO (Qatar Fertiliser Company),1800,2000,Chemicals,"Fertilizer, Ammonia, Urea, Urea Formaldehyde, Melamine, Chemicals",Public Company,Qatar,Mesaieed,AST,5980,104940
QAPCO - Qatar Petrochemical Company,2400,1800,Plastics Manufacturing,The main products of the company are Ethylene and LDPE. Solid sulphur is generated as a by-product in the process.,Partnership,Qatar,Doha,Asia/Qatar,5990,104950
Qatar Chemical Company,2200,750,Chemicals,"Petrochemicals, High Density Polyethylene, Polyethylene, 1-Hexene, Normal Alpha-Olefins",Partnership,Qatar,Doha,Asia/Qatar,6000,104960
Qiddiya | القدية,400,1500,Entertainment,"Entertainment, Racing, Hospitality, Retail, Theme Park, Nature , Motorsports, Hotel, Culture, Sports, Wellness, Food and Beverage, Education, Job Training",Privately Held,Saudi Arabia,"Al Nakheel, Riyadh",AST,6010,104970
"Qorvo, Inc.",3000,8000,Semiconductor Manufacturing,"RF Front Ends, Premium Filters, Power Amplifiers, Switch Products, Foundry, Antenna Control Solutions, Gallium Nitride (GaN), Systems on a Chip (SOCs), Power Management ICs, Antenna Switch Modules, Optical, Radar, Low Power Wireless Products",Public Company,United States,Greensboro,EST,6020,104980
Qualfon,400,10000,Outsourcing and Offshoring Consulting,"Call Centers and Contact Centers, Technical Support, Business Process Outsourcing (BPO), Social Media Support, Back-Office Processing, Claims Management, Customer Service, Escalations, Retention, Sales, Up-Selling/Cross-Selling, Proactive Online Chat Services, print, Fulfillment , warehouse, data analytics, marketing services , Direct Mail , Creative Services ",Privately Held,United States,Highland Park,EST,6030,104990
QuikTrip,9200,31000,Retail,,Privately Held,United States,Tulsa,EST,6040,105000
"RXO, Inc.",2900,15000,Truck Transportation,,Public Company,United States,Charlotte,EST,6050,105010
Rack Room Shoes,800,1500,Retail,,Privately Held,United States,Charlotte,EST,6060,105020
Rackspace Technology,2500,6600,Information Technology & Services,"IT as a Service, Multi-Cloud, Managed Hosting, Managed AWS/Azure/Google Cloud Platform/OpenStack/Alibaba, Managed Private Cloud for VMware/Microsoft/OpenStack, Managed Security, Compliance Solutions, Database Administration, Enterprise Application Management, Managed Oracle and SAP, Managed Magento/Hybris/Sitecore/Oracle ATG/Adobe Experience Manager, Professional Services, Artificial Intelligence",Public Company,United States,San Antonio,EST,6070,105030
Radisys Corporation,200,600,Telecommunications,"open telecom solutions, 5G, LTE-Advanced, SDN, NFV, Systems Integration, Central Office Re-architected as Datacenter (CORD), Telecom Cloud Solutions, Media Processing and Transcoding, MEC, DevOps, TIP, OCP, RAN, Virtualization, Disaggregation, Digital Experience, Digital Transformation, Broadband, FTTx, Conferencing Solutions, Real-time Communications, Media Server, CPaaS, Digital Engagement , Industry 4.0, Programmable Communications",Public Company,United States,Hillsboro,EST,6080,105040
Raley's,3500,12000,Retail,"Great people who care, Best Fresh Products, Fair and consistent pricing, Products you want and more, Easy shopping experience, E-Commerce, Grocery Delivery, Personalized Shopping, Servant Leadership",Privately Held,United States,West Sacramento,EST,6090,105050
Ramada by Wyndham,500,2200,Hospitality,,Public Company,United States,Parsippany,EST,6100,105060
Razer Inc.,1200,1600,Consumer Electronics,"Gaming Perpherials, Gaming Systems, Software Ecosystems, Internet of things, Android, iOS, Wearable, Audio products, Consumer Electronics, Home Entertainment, Virtual Reality, Mobile, Open Source, x86, WDM",Privately Held,United States,Irvine,EST,6110,105070
Redington Middle East and Africa,2200,4500,IT Services and IT Consulting,"Technology Distribution, Value Distribution, IT Support Services, IT Logistics solutions, Smartphone Distribution, Warehousing, Freight Forwarding",Public Company,United Arab Emirates,Dubai,GST,6120,105080
Rent-A-Center,3200,14000,Retail,"furniture, appliances, electronics, computers, RACares, community involvement, retail, rent-to-own, franchising, promote from within, Service and repairs, Customer Service",Public Company,United States,Plano,EST,6130,105090
Republic National Distributing Company,6800,13000,Beverage Manufacturing,"Spirits and Wine Distribution, Customer Service, Supplier Relationships, Sales Management, Operational Excellence, Employer of Choice",Privately Held,United States,Grand Prairie,EST,6140,105100
ResMed,2800,7400,Medical Device,"Sleep apnea, COPD, Out-of-hospital care, Home medical equipment, durable medical equipment, SaaS, CPAP, remote monitoring, patient engagement, Sleep, Respiratory care, medical devices, health IT, digital health, medical software, portable oxygen, ventilation, interoperability",Public Company,United States,San Diego,EST,6150,105110
Rexel USA,5000,15000,"Appliances, Electrical, and Electronics Manufacturing","Electrical Distribution, Energy Audits, Alternative Energy Solutions and Services, Lighting Retrofits, electrical supplies",Public Company,United States,Dallas,EST,6160,105120
Reynolds American Inc.,11000,5700,Tobacco Manufacturing,Mfg Consumer Tobacco Products,Public Company,United States,Winston-Salem,EST,6170,105130
Ricoh Latin America Inc,1500,3200,IT Services and IT Consulting,,Privately Held,United States,Weston,EST,6180,105140
Rio Salado College,300,900,Higher Education,"Online Certificate and Degree Programs, University Transfer, Military Student Support, Early College Options, Adult Basic Education, Corporate and Government Partnerships, Incarcerated Re-entry, Dual Enrollment, Professional Growth",Educational Institution,United States,Tempe,EST,6190,105150
Robert Bosch Tool Corporation NA,3700,4100,Manufacturing,"Power Tools, Power Tool Accessories, Measuring Tools, Construction Solutions, IoT",Privately Held,United States,Mt. Prospect,EST,6200,105160
Rock-Tenn Company,10000,23000,Packaging and Containers Manufacturing,"Consumer Packaging, Corrugated Packaging, Merchandising Displays, Paperboard, Recycling, Specialty Paperboard",Public Company,United States,Norcross,EST,6210,105170
Rogers Corporation,870,3000,Electrical & Electronic Manufacturing,"High-Frequency Printed Circuit Materials, Advanced Foams for Cushioning and Protective Sealing, Power Electronic Solutions",Public Company,United States,Chandler,EST,6220,105180
S&C Electric Company,820,3000,Electrical & Electronic Manufacturing,"smart grid solutions, renewable energy integration, medium- and high-voltage switching and protection, advanced power quality systems, services for electric power systems, energy storage solutions, smart grid communication systems, distribution automation",Privately Held,United States,Chicago,EST,6230,105190
SAP BusinessObjects,3200,5300,Software Development,"Business Intellingence, Profitability & Cost Management, Business Process Optimisation, In-memory Analytics, Strategy Management, Data Warehousing (Sybase IQ), Real Time Analysis, Information Management (ETL), Data Quality Management",Public Company,United States,Newtown Square,EST,6240,105200
SAP SuccessFactors,1200,3400,Software Development,"Core HR and Payroll, Recruiting Marketing and Recruiting Management, Talent Management, HRIS, Learning Management Software (LMS), Business Social Collaboration, Workforce Planning & Analytics, Succession and Compensation Management",Public Company,United States,South San Francisco,EST,6250,105210
SASREF,4500,1200,Oil & Energy,,Public Company,Saudi Arabia,Jubail,AST,6260,105220
SGS - Saudi Ground Services,500,3000,Airlines and Aviation,"Ground Handling, Ground Services, Airports",Public Company,Saudi Arabia,Jeddah,AST,6270,105230
SIPCHEM,3200,3000,Chemicals,,Privately Held,Saudi Arabia,Jubail Industrial City,AST,6280,105240
SLK Global Solutions,300,1600,IT Services and IT Consulting,,Privately Held,United States,United States,EST,6290,105250
SPIMACO,900,3000,Pharmaceutical Manufacturing,"Antibiotics , NSAIDs , Nausea & vomiting , Hypertension , Antifungals , Diabetes , Asthma, Antiviral, Peptic ulcer disease , Cough & Cold , and recently in hepatitis and oncology and invest in biosimilar products",Public Company,Saudi Arabia,Riyadh,AST,6300,105260
"SPX FLOW, Inc.",1200,6000,Industrial Machinery Manufacturing,"power generation and distribution, mixers, pumps, valves, marine, separators, homogenizers, apv, ultra high temperature systems, heat exchangers, spray dryers, evaporators, hydraulic technologies, high force tools",Privately Held,United States,Charlotte,EST,6310,105270
SS&C Intralinks,800,2200,Financial Services,"Virtual Data Room, Content Management, Syndicated Lending, Cybersecurity, Corporate Development, Mergers & Acquisitions, Deal Management, Transaction Facilitation, Investor Portals, Due Dilligence, Artificial Intelligence, Deal Sourcing, M&A Lifecycle Collaboration, Protected Data Access, Business Intelligence, Corporate Development, Online Data Room, Computer Software, Venture Capital",Public Company,United States,New York,EST,6320,105280
SSP America,1300,15000,Food and Beverage Services,,Privately Held,United States,Ashburn,EST,6330,105290
STERIS,3000,8000,Medical Equipment Manufacturing,"infection prevention, contamination control, surgical technologies, instrument repair, equipment repair services, applied sterilization technologies, endoscopy, sterile processing, operating room equipment, biodecontamination, gamma irradiation, electron beam irradiation, research laboratory equipment, ethylene oxide sterilization, sterility assurance",Public Company,United States,Mentor,EST,6340,105300
SYNCREON,2200,6000,Truck Transportation,"Inbound to Manufacturing , Fulfillment, Reverse and Repair, Transport Management, Export Packing, Warehouse Management Services, Aftermarket Services",Privately Held,United States,Auburn Hills,EST,6350,105310
Sadara Chemical Company,4500,3000,Chemicals,,Public Company,Saudi Arabia,Jubail,AST,6360,105320
Salt River Project,3300,4200,Utilities,"Power Generation, Water Delivery, Customer Service",Privately Held,United States,Tempe,EST,6370,105330
Sammons Financial Group Companies,468,1300,Financial Services,Financial Services,Privately Held,United States,West Des Moines,EST,6380,105340
Samsung Electronics America,30000,14000,Computers and Electronics Manufacturing,"Smart TV, Smartphone, Tablets, Wearable Tech, Blu-ray & Smart Players, HomeTheater & Audio, Digital Camera & Camcorder, Computing, Memory & Storage, Home Appliances, LED Lighting, Security & Monitoring, Consumer Electronics",Public Company,United States,Ridgefield Park,EST,6390,105350
San Francisco Unified School District,900,9600,Education Administration Programs,,Educational Institution,United States,San Francisco,EST,6400,105360
SanMar,3200,4000,Retail Apparel and Fashion,"promotional apparel, wholesale supplier",Privately Held,United States,Issaquah,EST,6410,105370
Sargento,2800,2000,Food and Beverage Manufacturing,"Cheese, Work-Life Balance, Innovation, Community Outreach, Dairy Industry, Marketing, Consumer Products, Food Production",Privately Held,United States,Plymouth,EST,6420,105380
Sargento Foods Inc.,1400,3200,Food and Beverage Manufacturing,"Cheese, Work-Life Balance, Innovation, Community Outreach, Dairy Industry, Marketing, Consumer Products, Food Production",Privately Held,United States,Plymouth,EST,6430,105390
Saudi Aramco Total Refining and Petrochemical Company (SATORP),15500,4500,Oil & Energy,"Global energy, fuel, gas, crude, refining, Petrochemicals",Partnership,Saudi Arabia,Jubail,AST,6440,105400
Saudi Business Machines - SBM,350,1800,Information Technology & Services,"AIX, HPC, zOS, IBM",Privately Held,Saudi Arabia,Jeddah,AST,6450,105410
Saudi Central Bank – SAMA,5000,15000,Financial Services,"Issues national currency, the Saudi Riyal, Acts as a banker to the government, Supervises commercial banks, anages Kingdom’s foreign exchange reserves, Conducts monetary policy for promoting price and exchange rate stability",Government Agency,Saudi Arabia,Riyadh,AST,6460,105420
Saudi Ceramics,800,3000,Building Materials,"Ceramic Tiles, Porcelain Tiles, Sanitary Wares, Water Heaters, Bathtubs, Bathroom Accessories, Red Bricks, Ceramic Road Makers",Public Company,Saudi Arabia,Riyadh,AST,6470,105430
Saudi Company For Hardware - SACO,800,3000,Retail,"Home improvement, Total Solutions, Bed & Bath, Electronics, Home Finishing, Paint & Sundries, Plumbing, Lawn & Garden, Furniture, Toys & Games, Sports Equipment, Mobiles, Technology",Public Company,Saudi Arabia,Riyadh,AST,6480,105440
Saudi Railway Company,350,2000,Transportation/Trucking/Railroad,"Railway Infrastructures, Operations and Maintenance, Passengers Line, Freight Line, Mineral Line",Privately Held,Saudi Arabia,Riyadh,AST,6490,105450
Saudia Cargo,1200,1000,Airlines and Aviation,"Serve the Airfreight industry with a spirit of excellence by continuously enhancing service levels, develop effective logistics solutions to the highest industry standards",Privately Held,Saudi Arabia,Jeddah,AST,6500,105460
Savola Foods Company,9000,1450,Food and Beverage Manufacturing,,Privately Held,Saudi Arabia,Jeddah,AST,6510,105470
Savola Group,4200,14000,Financial Services,"Food, Retail",Public Company,Saudi Arabia,Jeddah,AST,6520,105480
Schindler Elevator Corporation (U.S.),2100,5300,Industrial Machinery Manufacturing,"Elevators, Escalators, Moving Walks, Mobility Services, Transit Management, Urban Mobility, Innovation",Public Company,United States,Morristown,EST,6530,105490
Scientific Drilling,300,2000,Oil and Gas,"Directional Drilling, Rotary Steerable Services, MWD / LWD Solutions, Well Planning, Magnetic Ranging, Survey Management, Drilling Motor Services, Drilling Engineering, Wellbore Surveying, Cased Hole Services",Privately Held,United States,The Woodlands,EST,6540,105500
Seneca Foods Corporation,1200,3300,Food and Beverage Manufacturing,Food Processing,Public Company,United States,Fairport,EST,6550,105510
"Serta Simmons Bedding, LLC",3000,6000,Consumer Goods,"Household Furnishings, Manufacturing",Privately Held,United States,Doraville,EST,6560,105520
Shane Co.,300,1200,Retail,"Diamonds, Rubies, Sapphires, Pearls, Jewelry, Retail",Privately Held,United States,Greenwood Village,EST,6570,105530
Sheetz,7500,17000,Retail,"Fresh Food Made to Order, Sheetz Bros Coffee, Shweetz, MTO-Go, Sheetz Fam, Sheetz Jobs",Privately Held,United States,Altoona,EST,6580,105540
Shure Incorporated,800,3200,Consumer Electronics,"Microphones & Networked Microphones, Wireless Microphone Systems, Personal Monitor Systems, Headphones and Earphones, Digital Signal Processors, Presentation, Conference and Discussion Systems, Conference Room Audio, Automatic Mixers , Bluetooth Earphones, Mobile Microphones, Array Microphones, Audio Conferencing & Collaboration, Conferencing and Discussion Products, Dante and Network Connectivity, Microphone Array Technology, Product Training (Shure Audio Institute), Unified Communication Collaboration",Privately Held,United States,Niles,EST,6590,105550
Simpson Strong-Tie,900,3200,Building Materials,"Engineered Structural Connectors, Fasteners and Fastening Systems, Mechanical and Adhesive Anchors, Lateral-Force Resistance Systems, Repair, Protection and Strengthening Products",Public Company,United States,Pleasanton,EST,6600,105560
SiteOne Landscape Supply,3700,4500,Wholesale,"Irrigation, Outdoor Lighting, Nursery, Turf Protection and maintenance, Hardscapes, Landscape Supplies, Pest Control, Tools, Drainage, Agronomics",Public Company,United States,Roswell,EST,6610,105570
Sitel Digital Services (formerly SYKES),3200,55000,IT Services and IT Consulting,,Privately Held,United States,Tampa,EST,6620,105580
"Skyworks Solutions, Inc.",4700,9000,Semiconductors,"Wireless Connectivity, Internet of Things, RF Engineering, Design Engineers, RF/Analog Semiconductors, High Performance Solutions, Technology Innovation, 5G, LTE",Public Company,United States,Irvine,EST,6630,105590
Sleep Number Corporation,1700,4100,Retail,"Beds, Mattresses, Adjustable Beds, Bedding, Pillows, Sleep Technology, health and wellness",Public Company,United States,Minneapolis,EST,6640,105600
Solenis,1200,3700,Chemical Manufacturing,,Privately Held,United States,Wilmington,EST,6650,105610
Solidigm,1100,2200,Computer Hardware Manufacturing,,Privately Held,United States,Rancho Cordova,EST,6660,105620
Sony Electronics,7800,11000,Consumer Electronics,"Consumer Electronics, Consumer Software, Business & IT Solutions, Sales & Marketing",Public Company,United States,New York,EST,6670,105630
"Southco, Inc.",500,2100,Industrial Machinery Manufacturing,,Privately Held,United States,Concordville,EST,6680,105640
Southern Oregon University,200,800,Higher Education,,Educational Institution,United States,Ashland,EST,6690,105650
Southwire Company,9000,7000,Electrical & Electronic Manufacturing,"Industrial, Electrical, Energy, OEM, Southwire Continuous Rod, Tools and Assembled Products, Carrollton, GA",Privately Held,United States,Carrollton,EST,6700,105660
Spansion is Cypress Semiconductor,1400,3400,Semiconductor Manufacturing,"Charge trapping technology, NOR Flash Memory, NAND Flash Memory, Serial Flash Memory, ARM Microcontrollers, Analog Products, Power Management ICs, Energy Harvesting ICs",Public Company,United States,Sunnyvale,EST,6710,105670
"Spark Therapeutics, Inc.",200,900,Biotechnology Research,"Biotechnology, Gene therapy",Privately Held,United States,Philadelphia,EST,6720,105680
Specialized Bicycle Components,800,1200,Retail,"Bicycles, Design, Engineering, Product Development, Marketing, Human Resources, Sales, Finance, Outdoor Industry, Cycling, Distribution, eCommerce",Privately Held,United States,Morgan Hill,EST,6730,105690
Spireenergy,900,1800,Utilities,,Public Company,United States,St. Louis,CST,6740,105700
Sportsman's Warehouse,3400,8000,Retail,"Retail, Outdoor, Sporting, Goods, Hunting, Firearms, Reloading, Fishing, Camping, Optics, Outerwear, Footwear",Public Company,United States,West Jordan,EST,6750,105710
St. John's Riverside Hospital,700,2700,Hospitals and Health Care,,Nonprofit,United States,Yonkers,EST,6760,105720
StandardAero,1500,6000,Aviation and Aerospace Component Manufacturing,,Privately Held,United States,Scottsdale,EST,6770,105730
Starkey Hearing,800,3200,Medical Equipment Manufacturing,"audiology, hearing aids, hearing systems, hearing healthcare, education, training, manufacturing, engineering",Privately Held,United States,Eden Prairie,EST,6780,105740
Stater Bros. Markets,4100,18000,Retail,"Organic supermarket, Community outreach, Fresh produce, Organic produce, Quality meats, Vegan options, Gluten Free options",Privately Held,United States,San Bernardino,EST,6790,105750
Stepan Company,2000,2200,Chemicals,"Surfactants, Polymers, Specialty Products, Chemicals, lipid nutrition, Nonionic Surfactants",Public Company,United States,Northbrook,EST,6800,105760
Stericycle,2060,13500,Hospital & Health Care,"Sharps and Medical Waste Disposal Service, Communication Solutions, OSHA Compliance Programs, Pharmaceutical Waste Services, Sharps Containers and Healthcare Products, Document Destruction, Patient Engagement Solutions",Public Company,United States,Bannockburn,EST,6810,105770
Stock Building Supply is now BMC!,3500,9000,Wholesale Building Materials,Building Materials and Solutions,Public Company,United States,Atlanta,EST,6820,105780
Subaru of Indiana Automotive,4200,5700,Motor Vehicle Manufacturing,"Automotive, Manufacturing",Privately Held,United States,Lafayette,EST,6830,105790
Sun Chemical,7800,8000,Chemical Manufacturing,"Printing Inks, Coatings, Pressroom Supplies, Pigments, Advanced Materials, Color Management, Packaging Solutions, Polymers, Liquid Compounds, Solid Compounds, Application Materials",Privately Held,United States,Parsippany,EST,6840,105800
SunPower Corporation,1800,2200,Renewables & Environment,"solar, residential solar systems, project development, photovoltaic, alternative energy, renewable energy, energy service provider, monitoring, solar storage",Public Company,United States,Richmond,EST,6850,105810
Super 8 by Wyndham,500,1200,Hospitality,,Public Company,United States,Parsippany,EST,6860,105820
Superior Industries,1300,3000,Motor Vehicle Manufacturing,"Aluminum Cast and Flow Formed Wheels, Premium Finishes, Light Weight Technologies, Forged wheels",Public Company,United States,Southfield,EST,6870,105830
Supermicro,7123,5120,Computer Hardware,"Servers, Storage, IOT, Datacenter, Enterprise Solutions, Computer Hardware, GPU Systems, Rack Solutions, Embedded, Motherboards, Enclosures, Networking, Switch, Management Software, Software Defined, Machine Learning, Power Supply, AI, Edge, Liquid Cooling",Public Company,United States,San Jose,EST,6880,105840
Swagelok,3200,5600,Industrial Machinery Manufacturing,"valves, regulators, hoses, oil and gas, chemical processing, biopharmaceutical, research, tube fittings, fluid systems, semiconductor manufacturing, transportation",Privately Held,United States,Solon,EST,6890,105850
Swift Transportation,4100,22000,Truck Transportation,"Full Truckload, Linehaul, Intermodal, Dedicated, Temperature Controlled, Flatbed, Logistics Brokerage and Full Managed Trans., Expedited / Teams, Cross Border Mexico and Canada, Swift Express, Trade Show, Owner Operators, Heavy Haul, Refrigerated",Public Company,United States,Phoenix,EST,6900,105860
Symphony Teleca,1000,6000,IT Services and IT Consulting,"Infotainment, Consumer Electronics, Cloud Services, Professional and Automotive Sound, Loudspeaker, Home Entertainment, Healthcare, Software Solutions, Lighting, Connected products and solutions",Privately Held,United States,Mountain View,EST,6910,105870
Synaptics,1300,2100,Semiconductor Manufacturing,"Capacitive Sensing, AI & Neural Network, Far-field Voice & Speech Capture, Acoustics & Audio Processing, Optical Imaging, Video & Imaging Processing, Display Driver & Integrated Sensing, Video Interface, Wireless Connectivity",Public Company,California,San Jose,PST,6920,105880
Syniti,300,800,Software Development,"Data, Data Journey, Data Transformation, S/4HANA, SAP S/4HANA",Privately Held,United States,Needham,EST,6930,105890
TAHAKOM,200,600,Information Technology & Services,,Public Company,Saudi Arabia,Riyadh,AST,6940,105900
TAQA (Industrialization & Energy Services Company),1500,3200,Oil and Gas,"Oil and gas exploration and drilling, conducting geophysical surveys and establishing a wide range of industries and services in support of oil and gas, metals, petrochemicals, mining, electricity and water sectors, Cementing , Enabler of Energy, Employer of Choice, well services, technology",Privately Held,Saudi Arabia,Dhahran,AST,6950,105910
TASNEE,3400,4100,Chemicals,"Petrochemicals, Chemicals, Metals, Services",Public Company,Saudi Arabia,Riyadh,AST,6960,105920
TBC Corporation,3500,10400,Motor Vehicle Manufacturing,"Tires, Automotive Service, Tire Service & Repair, Oil, Lube & Filters, Routine Services & Fluids, Batteries, Brakes, Alignment, Suspension & Front End",Privately Held,United States,Palm Beach Gardens,EST,6970,105930
TECO Energy,4400,4300,Utilities,Energy,Public Company,United States,Tampa,EST,6980,105940
"TETRA Technologies, Inc.",800,1300,Oil and Gas,"Early Production Facilities, Water Management Solutions (Frac), Completion Fluids & Svcs, Well Testing & Flow Back, Calcium Chloride, Brominated products, Rig Cooling, Sand Management",Public Company,United States,The Woodlands,EST,6990,105950
TIC - The Industrial Company,3000,9000,Construction,"Power (including Renewable Energy), Mining/Minerals Processing, Oil, Gas & Chemical, Food and Beverage processing, Pulp & Paper",Privately Held,United States,Englewood,EST,7010,105960
TRIUMPH,1200,2200,Aviation and Aerospace Component Manufacturing,,Public Company,United States,Berwyn,EST,7020,105970
TSI Incorporated,500,1400,Industrial Machinery Manufacturing,"scientific instruments, aerosol and particle technology, healthcare, measurement, respirator fit testing, occupational health and safety, industrial hygiene, manufacturing, indoor air quality, particle counters, fluid mechanics, HVAC testing, ventilation, filter testing, engine emissions, air quality",Privately Held,United States,Shoreview,EST,7030,105980
TUMI,750,1200,Retail,,Public Company,United States,Edison,EST,7040,105990
TVH Parts Co.,1200,5700,Wholesale,"Forklifts and Construction Vehicles, Aerial Work Platforms, Sweeper & Scrubber, Personnel Burden Carrier, Material Handling, Industrial Equipment, Light Construction",Privately Held,United States,Olathe,EST,7050,106000
Tapestry,5900,15000,Apparel & Fashion,,Public Company,United States,New York,EST,7060,106010
Tavant,300,2500,Information Technology & Services,"Consumer Lending, eCommerce, Manufacturing, Outsourced Product Development, Aftermarket Service Operations, OTT - Over The Top, DevOps, Analytics and Big Data, Artificial Intelligence, Warranty, Proptech, banktech, Media and Entertainment",Privately Held,United States,Santa Clara,EST,7070,106020
Techwave,200,2200,IT Services and IT Consulting,"Business Analytics, Enterprise Performance Management (EPM), Enterprise Resource Planning (ERP), Managed Services (AMS - Onshore, Near Shore, Offshore), Quality Assurance & Testing, Big Data, Business Process Management (BPM), Internet of Things, Cloud, ISO20022 Payments Data Management, Application Modernization, API Ecosystem Management, Wireline Engineering, Wireless Engineering",Privately Held,United States,Houston,EST,7080,106030
Teleflex,2100,12000,Medical Equipment Manufacturing,,Public Company,United States,Wayne,EST,7090,106040
Tennant Company,1000,4300,Machinery Manufacturing,"Sustainability, Cleaning Solutions, Floor Cleaning Equipment",Public Company,United States,Eden Prairie,EST,7100,106050
