Company Name,Company Revenue (in millions),Employee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone,AccountID,LeadID
GWC | Official,500,250,Transportation/Trucking/Railroad,"GWC Contract Logistics, GWC Hazmat, GWC Forwarding, GWC Projects, GWC Records, GWC Transport, GWC Relocations, GWC Fine Art, GWC Sports, GWC Equestrian, GWC Consulting / Real Estate, GWC Express UPS, GWC Pharma, Logistics, Supply Chain, Warehouses",Public Company,Qatar,Doha,Asia/Qatar,3570,102550
Gainwell Technologies,1300,6500,IT Services and IT Consulting,,Privately Held,United States,United States,EST,3580,102560
Gallaudet University,200,1200,Higher Education,"Deaf Education, Linguistics, Deaf Studies, Audiology, Signing Ecosystem",Educational Institution,United States,Washington,EST,3590,102570
Gates Corporation,3200,14000,Automation Machinery Manufacturing,"Automotive aftermarket belts and hoses, Hydraulic assemblies, Industrial hose systems, Synchronous belt drives, V-belts",Public Company,United States,Denver,EST,3600,102580
Generac Power Systems,3200,6200,"Appliances, Electrical, and Electronics Manufacturing","Power Generation, Generators, Engines, Pressure Washers, Industrial Solutions, Energy Storage Solutions, Back up Power, Mobile Products, Inverters, Portable Power, Power Tools",Public Company,United States,Waukesha,EST,3610,102590
General Dynamics Land Systems,8300,12500,Defense & Space,"Military systems, military innovations, armored vehicles, military vehicles, army vehicles, 3d printing, weapon systems, electronic architecture",Public Company,United States,Sterling Heights,EST,3620,102600
General Dynamics NASSCO,2100,3000,Shipbuilding,"Navy Shipbuilding, Commercial Shipbuilding, Navy Ship Repair",Public Company,United States,San Diego,EST,3630,102610
Genesis Rehab Services,900,22000,Hospitals and Health Care,"Physical Therapy, Occupational Therapy, Speech Therapy, Respiratory Therapy, Health and Wellness",Public Company,United States,Kennett Square,EST,3640,102620
Gentherm,1000,10000,Motor Vehicle Manufacturing,"Heated/Cooled/Ventilated Seats (automotive), Heated Steering Wheels, Heated/Cooled Cupholders, Thermal Storage (bin), Cables, Fans/Blowers, Thermal Comfort Products Non-Automotive Applications, Medical, Electronic Components",Public Company,United States,Northville,EST,3650,102630
Georgia Pacific,20000,35000,Paper and Forest Product Manufacturing,,Privately Held,United States,Atlanta,EST,3660,102640
Gerdau North America,4300,14000,Mining,,Privately Held,United States,Tampa,EST,3670,102650
Gexpro,2500,2300,"Appliances, Electrical, and Electronics Manufacturing","Electrical, supplies, Supply, Chain, Hardware, Wire, Conduit, Lighting, Lamps, Distribution, Fasteners, Lean, Energy Storage",Public Company,United States,Shelton,EST,3680,102660
Glanbia Performance Nutrition (GPN),3500,2200,Food and Beverage Services,"Consumer Goods, Sports Nutrition, Brand Management, R&D & Innnovation, Food, Beverage, Health, Wellness, Sales, Marketing, CPG, Dairy, Natural, Organic, Bars, Supplements, Nutrition, Sports, Manufacturing, ESG, D&I, Lifestyle, Weight Management, Energy, Performance Nutrition",Public Company,United States,Kilkenny,EST,3690,102670
Global Industrial Company,2300,3000,Wholesale,"Material Handling, Packaging/Supplies, Storage & Shelving, Furniture/Office, Foodservice/Appliances, Janitorial, Motors/Power Transmission, Packaging & Supplies/ Tools & Instruments, HVAC/R & Fans / Electrical, Plumbing Supplies/ Pneumatics/Hydraulics, Safety/Medical, Facilities Maintenance, Industrial Supplies, MRO, Lighting",Public Company,United States,Port Washington,EST,3700,102680
Goldcorp,3200,7000,Mining,Gold Mining,Public Company,United States,Greenwood Village,EST,3710,102690
Gordon Food Service,14000,19000,Food & Beverages,"foodservice, restaurant supply, food and beverage distribution, retail stores, fundraising",Privately Held,United States,Grand Rapids,EST,3720,102700
Graco,1900,3600,Machinery,"Contractor equipment, lubrication equipment, finishing equipment, protective coating equipment, process equipment, sealant and adhesive equipment",Public Company,United States,Minneapolis,EST,3730,102710
"Graphic Packaging International, LLC",6000,19000,Packaging and Containers Manufacturing,"folding cartons, paperboard, packaging, packaging machinery, package design, recycled paperboard, foodservice, hot cups, cold cups, beverage packaging systems, innovation, sustainability, microwave",Public Company,United States,Atlanta,EST,3740,102720
Graybar,7700,8900,Wholesale,Distributor of Electrical and Communication Products and Services,Privately Held,United States,St. Louis,EST,3750,102730
Great Lakes Cheese,3200,3000,Food and Beverage Manufacturing,,Privately Held,United States,Hiram,EST,3760,102740
Greenheck,1100,3200,Industrial Machinery Manufacturing,"Fans & Ventilators, Centrifugal & Vane Axial Fans, Energy Recovery Ventilators, Packaged Ventilation Systems, Make-up Air Units, Lab Exhaust Systems, Coils, Dampers, Louvers, Indoor Air Handlers, Tempered Air Products, Dedicated Outdoor Air Systems (DOAS), Fume Exhaust Systems, High Volume Low Speed (HVLS) Fans, Grilles, Registers and Diffusers (GRD)",Privately Held,United States,Schofield,EST,3770,102750
Grupo LAFISE,600,1900,Financial Services,"Banca, Seguros, Puestos de Bolsa, Banca de Inversión, Logística y Almacenaje, Servicios Fiduciarios",Privately Held,United States,Miami,EST,3780,102760
HALLIBURTON ENERGY SERVICES,18000,55000,Oil and Gas,,Public Company,United States,Houston,EST,3790,102770
